source;source_uniprotAC;source_speciesID;source_species;source_topology;source_pathways;layer;target;target_uniprotAC;target_speciesID;target_species;target_topology;target_pathways;layer;interaction_type;directness;effect;references;data_source;confidence_score;score_from_the_source
DTX1;Q86Y01;ENSG00000135144;H. sapiens;Co-factor,Endocytosis related ,Scaffold;Notch(non-core);Interaction between pathway members;NOTCH1;P46531;ENSG00000148400;H. sapiens;Receptor,Endocytosis related ;Notch(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;11153911|11564735|11226752|18988627|21071413|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.618152, GO Semantic Similarity: 0.618152;
ZFYVE9;O95405;ENSG00000157077;H. sapiens;Co-factor,Scaffold;TGF(non-core);Interaction between pathway members;SMAD2;Q15796;ENSG00000175387;H. sapiens;Mediator,Transcription factor;RTK(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;11243848|15356634|9865696|15231748|18511908|18988627|21071413|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.847174;
SFRP1;Q8N474;ENSG00000104332;H. sapiens;Co-factor;WNT/Wingless(non-core);Interaction between pathway members;UNQ426/PRO864;P56705;ENSG00000162552;H. sapiens;Ligand ;WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;11287180|11287180|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 1.0, GO Semantic Similarity: 1.0;
LRP5;O75197;ENSG00000162337;H. sapiens;;WNT/Wingless(core);Interaction between pathway members;AXIN1;O15169;ENSG00000103126;H. sapiens;Mediator,Scaffold;RTK(non-core),TGF(non-core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;11336703|11336703|18632848|23331499|21071413;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.664713, GO Semantic Similarity: 0.664713;
FBXW11;Q9UKB1;ENSG00000072803;H. sapiens;Co-factor,Endocytosis related ;TGF(non-core),WNT/Wingless(non-core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;11359933|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.757043;
ACVR1B;P36896;ENSG00000135503;H. sapiens;Receptor;TGF(core);Interaction between pathway members;SMAD2;Q15796;ENSG00000175387;H. sapiens;Mediator,Transcription factor;RTK(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;11389842|9892009|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.675224, GO Semantic Similarity: 0.675224;
AXIN1;O15169;ENSG00000103126;H. sapiens;Mediator,Scaffold;RTK(non-core),TGF(non-core),TGF(core),WNT/Wingless(core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;11438668|11438668|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.884988;
UNQ492/PRO1008;O94907;ENSG00000107984;H. sapiens;Co-factor,Endocytosis related ;WNT/Wingless(non-core);Interaction between pathway members;LRP6;O75581;ENSG00000070018;H. sapiens;Receptor,Co-factor,Endocytosis related ;WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;11448771|11448771|11357136|11448771|18988627|21071413|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 1.0;
NOTCH1;P46531;ENSG00000148400;H. sapiens;Receptor,Endocytosis related ;Notch(core),WNT/Wingless(core);Interaction between pathway members;LEF1;Q9UJU2;ENSG00000138795;H. sapiens;Transcription factor;WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;11604490|11604490|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.736014, GO Semantic Similarity: 0.736014;
UNQ1895/PRO4341;Q9NR61;ENSG00000128917;H. sapiens;Ligand ;Notch(non-core);Interaction between pathway members;NOTCH1;P46531;ENSG00000148400;H. sapiens;Receptor,Endocytosis related ;Notch(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;11739188|10837024|11739188|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.698931;
MYC;P01106;ENSG00000136997;H. sapiens;Transcription factor;RTK(core),TGF(core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;11804592|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.635794, GO Semantic Similarity: 0.635794;
AXIN1;O15169;ENSG00000103126;H. sapiens;Mediator,Scaffold;RTK(non-core),TGF(non-core),TGF(core),WNT/Wingless(core);Interaction between pathway members;CSNK1D;P48730;ENSG00000141551;H. sapiens;Co-factor;WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;11818547|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.615756;
AXIN1;O15169;ENSG00000103126;H. sapiens;Mediator,Scaffold;RTK(non-core),TGF(non-core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PRO2286;P35222;ENSG00000168036;H. sapiens;Mediator;TGF(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;11940574|9734785|9734785|9734785|10228155|10228155|12000790|10488109|9734785|18988627|23331499|21071413;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.766544, GO Semantic Similarity: 0.766544;
AXIN2;Q9Y2T1;ENSG00000168646;H. sapiens;Mediator;WNT/Wingless(core);Interaction between pathway members;PRO2286;P35222;ENSG00000168036;H. sapiens;Mediator;TGF(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;11940574|10966653|9566905|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 1.0, GO Semantic Similarity: 1.0;
SMAD7;O15105;ENSG00000101665;H. sapiens;Co-factor,Transcription factor;RTK(non-core),TGF(core);Interaction between pathway members;ACVRL1;P37023;ENSG00000139567;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;12023024|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.780018;
UNQ1874/PRO4317;Q92542;ENSG00000162736;H. sapiens;Co-factor,Scaffold;Notch(core);Interaction between pathway members;PSEN1;P49768;ENSG00000080815;H. sapiens;Co-factor,Endocytosis related ,Scaffold;Notch(core);Interaction between pathway members;PPI directed;direct;stimulation;12032140|14572442|12471034|10993067|12603837|18988627|23331499|21071413;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.80861, GO Semantic Similarity: 0.80861;
MAP3K1;Q13233;ENSG00000095015;H. sapiens;Mediator,Endocytosis related ;RTK(core),TGF(non-core);Interaction between pathway members;MAPK3;P27361;ENSG00000102882;H. sapiens;Mediator;RTK(core),JAK/STAT(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;12049732|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.620039;
ZFYVE9;O95405;ENSG00000157077;H. sapiens;Co-factor,Scaffold;TGF(non-core);Interaction between pathway members;TGFBR1;P36897;ENSG00000106799;H. sapiens;Receptor,Endocytosis related ,Scaffold;RTK(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;12052882|9865696|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.916419, GO Semantic Similarity: 0.916419;
SMURF1;Q9HCE7;ENSG00000198742;H. sapiens;Co-factor,Endocytosis related ,Scaffold;TGF(non-core);Interaction between pathway members;SMAD7;O15105;ENSG00000101665;H. sapiens;Co-factor,Transcription factor;RTK(non-core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;12408818|14722617|16720724|15221015|11278251|11278251|12519765|12151385|18988627|23331499|21071413;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.642306;
PRO2286;P35222;ENSG00000168036;H. sapiens;Mediator;TGF(non-core),WNT/Wingless(core);Interaction between pathway members;PITX2;Q99697;ENSG00000164093;H. sapiens;Co-factor,Transcription factor;WNT/Wingless(non-core);Interaction between pathway members;PPI directed;direct;stimulation;12464179|12464179|21071413|23331499;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.832356, GO Semantic Similarity: 0.832356;
MIB1;Q86YT6;ENSG00000101752;H. sapiens;Co-factor,Endocytosis related ;Notch(non-core);Interaction between pathway members;JAG1;P78504;ENSG00000101384;H. sapiens;Ligand ;Notch(non-core);Interaction between pathway members;PPI directed;direct;stimulation;12530964|20720151|21071413|23331499;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.618152;
ADAM10;O14672;ENSG00000137845;H. sapiens;Co-factor;Notch(non-core);Interaction between pathway members;NOTCH3;Q9UM47;ENSG00000074181;H. sapiens;Receptor;Notch(core);Interaction between pathway members;PPI directed;direct;stimulation;12651094|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.698931;
SKIL;P12757;ENSG00000136603;H. sapiens;Transcription factor;TGF(non-core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;12793438|11691834|10531062|11306568|12426322|23331499|21071413;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.823848;
SKI;P12755;ENSG00000157933;H. sapiens;Transcription factor;TGF(non-core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;12793438|12874272|12857746|12732634|11306568|10575014|12426322|17283070|23331499|21071413;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.69229;
SKI;P12755;ENSG00000157933;H. sapiens;Transcription factor;TGF(non-core);Interaction between pathway members;SMAD4;Q13485;ENSG00000141646;H. sapiens;Co-factor,Transcription factor;RTK(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;12793438|12874272|10531062|12732634|14699069|14525983|23331499|21071413;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.704884;
SKI;P12755;ENSG00000157933;H. sapiens;Transcription factor;TGF(non-core);Interaction between pathway members;SMAD2;Q15796;ENSG00000175387;H. sapiens;Mediator,Transcription factor;RTK(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;12793438|12874272|10485843|12732634|10575014|14699069|17283070|23331499|21071413;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.656881;
DAB2;P98082;ENSG00000153071;H. sapiens;Co-factor,Endocytosis related ;TGF(non-core),WNT/Wingless(non-core);Interaction between pathway members;DVL3;Q92997;ENSG00000161202;H. sapiens;Mediator,Scaffold,Transcription factor;RTK(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;12805222|12805222|21071413|23331499;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.717922, GO Semantic Similarity: 0.717922;
HIPK2;Q9H2X6;ENSG00000064393;H. sapiens;Co-factor;TGF(non-core);Interaction between pathway members;SKI;P12755;ENSG00000157933;H. sapiens;Transcription factor;TGF(non-core);Interaction between pathway members;PPI directed;direct;stimulation;12874272|12874272|12874272|18988627|21071413|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.79246;
TGFBR1;P36897;ENSG00000106799;H. sapiens;Receptor,Endocytosis related ,Scaffold;RTK(core),TGF(core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;12957874|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.750709, GO Semantic Similarity: 0.750709;
SMAD2;Q15796;ENSG00000175387;H. sapiens;Mediator,Transcription factor;RTK(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;SMAD4;Q13485;ENSG00000141646;H. sapiens;Co-factor,Transcription factor;RTK(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;12957874|12794086|11027280|9288972|10531362|18783722|15817471|12808092|21454478|19135894|10878024|21532621|11274206|12167862|15231748|15350224|18511908|19135894|18988627|23331499|21071413;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.847174;
SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;SMAD4;Q13485;ENSG00000141646;H. sapiens;Co-factor,Transcription factor;RTK(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;12957874|12794086|10531362|22045334|19135894|10878024|10995777|21532621|9311995|10995777|15231748|15350224|18988627|23331499|21071413;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.847174, GO Semantic Similarity: 0.847174;
TGFBR1;P36897;ENSG00000106799;H. sapiens;Receptor,Endocytosis related ,Scaffold;RTK(core),TGF(core);Interaction between pathway members;SMAD2;Q15796;ENSG00000175387;H. sapiens;Mediator,Transcription factor;RTK(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;12957874|18511908|15350225|9525694|9892009|9346908|18511908|18988627|23331499|21071413;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.891959, GO Semantic Similarity: 0.891959;
FZD4;Q9ULV1;ENSG00000174804;H. sapiens;Receptor,Endocytosis related ;WNT/Wingless(core);Interaction between pathway members;DVL2;O14641;ENSG00000004975;H. sapiens;Mediator,Endocytosis related ,Scaffold,Transcription factor;WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;12958364|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.656696;
OK/SW-cl.43;P63165;ENSG00000116030;H. sapiens;Co-factor;TGF(non-core);Interaction between pathway members;SMAD4;Q13485;ENSG00000141646;H. sapiens;Co-factor,Transcription factor;RTK(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;14514699|14514699|12813045|12740389|23331499|21071413;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.656881;
SMAD1;Q15797;ENSG00000170365;H. sapiens;Mediator,Transcription factor;TGF(core);Interaction between pathway members;SMAD4;Q13485;ENSG00000141646;H. sapiens;Co-factor,Transcription factor;RTK(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;14534577|10531362|21454478|15761153|15231748|18988627|23331499|21071413;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.847174;
TGFBR1;P36897;ENSG00000106799;H. sapiens;Receptor,Endocytosis related ,Scaffold;RTK(core),TGF(core);Interaction between pathway members;ACVRL1;P37023;ENSG00000139567;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;14580334|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 1.0, GO Semantic Similarity: 1.0;
PRO2286;P35222;ENSG00000168036;H. sapiens;Mediator;TGF(non-core),WNT/Wingless(core);Interaction between pathway members;LEF1;Q9UJU2;ENSG00000138795;H. sapiens;Transcription factor;WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;14638683|8757136|10890911|16510874|16510875|23331499|21071413;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.818808;
AKT1;P31749;ENSG00000142208;H. sapiens;Mediator;RTK(core),Hedgehog(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;15048128|16362038|16362038|18988627|21071413|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.635794, GO Semantic Similarity: 0.635794;
UNQ1874/PRO4317;Q92542;ENSG00000162736;H. sapiens;Co-factor,Scaffold;Notch(core);Interaction between pathway members;UNQ579/PRO1141;Q96BI3;ENSG00000117362;H. sapiens;Co-factor,Scaffold;Notch(non-core);Interaction between pathway members;PPI directed;direct;stimulation;15189355|14572442|12857757|12471034|12471034|12297508|23331499|21071413;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.80861, GO Semantic Similarity: 0.80861;
PML;P29590;ENSG00000140464;H. sapiens;Co-factor;TGF(non-core);Interaction between pathway members;ZFYVE9;O95405;ENSG00000157077;H. sapiens;Co-factor,Scaffold;TGF(non-core);Interaction between pathway members;PPI directed;direct;stimulation;15356634|15356634|15356634|18988627|21071413|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.916419;
PML;P29590;ENSG00000140464;H. sapiens;Co-factor;TGF(non-core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;15356634|15356634|15356634|18988627|21071413|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.818649;
PML;P29590;ENSG00000140464;H. sapiens;Co-factor;TGF(non-core);Interaction between pathway members;SMAD2;Q15796;ENSG00000175387;H. sapiens;Mediator,Transcription factor;RTK(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;15356634|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.885565, GO Semantic Similarity: 0.885565;
ARRB1;P49407;ENSG00000137486;H. sapiens;Co-factor,Scaffold;RTK(non-core),Hedgehog(non-core),Notch(non-core),WNT/Wingless(non-core);Interaction between pathway members;MAPK3;P27361;ENSG00000102882;H. sapiens;Mediator;RTK(core),JAK/STAT(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;15364949|10347142|21071413|23331499;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.741165;
ROR2;Q01974;ENSG00000169071;H. sapiens;Receptor;RTK(core),TGF(non-core),WNT/Wingless(non-core);Interaction between pathway members;BMPR1B;O00238;ENSG00000138696;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;15569154|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.704884;
PRO2286;P35222;ENSG00000168036;H. sapiens;Mediator;TGF(non-core),WNT/Wingless(core);Interaction between pathway members;SMAD7;O15105;ENSG00000101665;H. sapiens;Co-factor,Transcription factor;RTK(non-core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;15684397|15684397|15684397|15684397|18988627|23331499|21071413;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 1.0;
NCOR2;Q9Y618;ENSG00000196498;H. sapiens;Co-factor,Transcription factor;Notch(non-core);Interaction between pathway members;CTBP1;Q13363;ENSG00000159692;H. sapiens;Co-factor;Notch(non-core);Interaction between pathway members;PPI directed;direct;stimulation;16287852|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.741165;
LRP6;O75581;ENSG00000070018;H. sapiens;Receptor,Co-factor,Endocytosis related ;WNT/Wingless(core);Interaction between pathway members;AXIN1;O15169;ENSG00000103126;H. sapiens;Mediator,Scaffold;RTK(non-core),TGF(non-core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;16340998|12897152|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.885565, GO Semantic Similarity: 0.885565;
ACVR2B;Q13705;ENSG00000114739;H. sapiens;Receptor;TGF(core);Interaction between pathway members;BMPR1A;P36894;ENSG00000107779;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 1.0;
AMH;P03971;ENSG00000104899;H. sapiens;Ligand ;TGF(core);Interaction between pathway members;AMHR2;Q16671;ENSG00000135409;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|8889695|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.922181;
ACVR2B;Q13705;ENSG00000114739;H. sapiens;Receptor;TGF(core);Interaction between pathway members;ACVR1B;P36896;ENSG00000135503;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|8622651|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 1.0, GO Semantic Similarity: 1.0;
TGFBR2;P37173;ENSG00000163513;H. sapiens;Receptor,Endocytosis related ,Scaffold;RTK(core),TGF(core);Interaction between pathway members;TGFBR1;P36897;ENSG00000106799;H. sapiens;Receptor,Endocytosis related ,Scaffold;RTK(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|7890683|11102446|21791611|7890683|8576253|18988627|23331499|21071413;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.891959, GO Semantic Similarity: 0.891959;
ACVR2B;Q13705;ENSG00000114739;H. sapiens;Receptor;TGF(core);Interaction between pathway members;ACVR1;Q04771;ENSG00000115170;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 1.0;
BMPR2;Q13873;ENSG00000204217;H. sapiens;;TGF(core);Interaction between pathway members;ACVR1;Q04771;ENSG00000115170;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|7791754|7791754|23331499|21071413;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 1.0;
